date,OPEN,MAX,MIN,CLOSE,VOLUME,CAP,DURATION,YIELD
25 07 17,439.09,439.16,438.69,439.11,13 554 830 701,3 474 877 315 606.35,1 696,8.03
26 07 17,439.34,439.68,438.98,439.68,11 853 390 732,3 473 754 055 671.68,1 698,8.00
27 07 17,439.78,440.71,439.60,440.71,10 658 243 739,3 481 700 163 258.44,1 699,7.96
28 07 17,440.80,441.27,440.68,440.68,10 999 032 743,3 481 646 245 854.1,1 698,7.96
31 07 17,440.93,440.93,440.31,440.68,6 741 080 064,3 481 819 906 793.42,1 694,7.98
01 08 17,440.79,441.02,440.63,440.80,5 935 028 838,3 482 588 682 976.52,1 693,7.97
02 08 17,440.98,441.40,440.40,440.59,18 287 004 124,3 466 829 974 542.47,1 700,7.98
03 08 17,440.65,441.23,440.53,441.23,24 528 266 937,3 471 683 759 450.86,1 699,7.96
04 08 17,441.46,442.41,441.46,442.41,16 585 631 288,3 481 283 887 070.52,1 702,7.91
07 08 17,442.71,443.41,442.70,443.13,7 674 766 017,3 486 774 521 445.98,1 699,7.89
08 08 17,443.11,443.26,442.72,442.72,7 215 177 489,3 483 485 407 325.19,1 698,7.92
09 08 17,442.95,442.98,442.65,442.79,2 333 621 396,3 484 273 072 263.72,1 695,7.91
10 08 17,442.86,443.40,442.57,443.35,9 273 848 859,3 488 494 577 370.64,1 695,7.88
11 08 17,443.41,443.41,442.21,443.14,6 315 161 512,3 486 957 760 040.43,1 693,7.89
14 08 17,443.36,444.15,443.13,444.11,7 803 657 581,3 494 567 809 497.48,1 691,7.85
15 08 17,444.13,444.76,443.96,443.97,15 278 676 183,3 493 592 274 760.75,1 689,7.85
16 08 17,444.34,444.47,443.87,444.18,15 302 861 501,3 482 463 243 689.64,1 701,7.85
17 08 17,444.26,444.60,444.09,444.51,21 507 197 958,3 485 152 151 080.73,1 699,7.83
18 08 17,444.68,444.89,444.49,444.73,4 104 075 597,3 486 725 526 592.52,1 698,7.81
21 08 17,445.07,445.29,444.75,445.01,9 100 403 795,3 488 746 408 372.47,1 695,7.82
22 08 17,445.28,445.28,445.02,445.05,10 967 165 086,3 488 983 587 756.68,1 694,7.82
23 08 17,445.18,445.37,445.05,445.35,6 092 990 334,3 471 502 689 146.11,1 701,7.80
24 08 17,445.43,445.54,445.22,445.41,11 497 421 565,3 471 927 083 933.09,1 699,7.80
25 08 17,445.47,445.64,445.39,445.41,7 623 418 506,3 471 993 211 837.94,1 698,7.81
28 08 17,445.59,445.99,445.39,445.75,2 957 012 489,3 474 513 354 384.65,1 695,7.81
29 08 17,445.68,445.68,445.25,445.25,11 736 951 277,3 470 843 174 712.11,1 693,7.83
30 08 17,445.35,445.75,445.17,445.72,17 825 194 673,3 465 695 904 796.88,1 694,7.81
31 08 17,445.89,446.60,445.71,446.60,20 933 691 911,3 472 517 659 357.15,1 695,7.78
