BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE
SNDX,IMOEX,23.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1640,70","1664,27","1667,03","1638,18","34893774005,00"
SNDX,IMOEX,24.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1621,43","1640,70","1641,77","1611,89","35934108194,00"
SNDX,IMOEX,25.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1639,64","1621,44","1648,30","1621,43","28866983905,00"
SNDX,IMOEX,28.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1616,36","1639,64","1643,94","1614,35","24565309868,00"
SNDX,IMOEX,29.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1630,51","1616,36","1635,46","1606,83","24978201787,00"
SNDX,IMOEX,30.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1642,97","1630,53","1654,38","1630,53","30818293880,00"
SNDX,IMOEX,01.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1626,97","1644,52","1649,57","1616,85","28123517312,00"
SNDX,IMOEX,02.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1612,56","1627,07","1630,77","1603,46","25808649289,00"
SNDX,IMOEX,05.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1652,47","1612,71","1654,73","1612,71","31964330042,00"
SNDX,IMOEX,06.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1670,69","1652,49","1670,69","1649,46","31262998864,00"
SNDX,IMOEX,07.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1679,49","1670,68","1679,49","1656,38","45806350106,00"
SNDX,IMOEX,08.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1689,32","1679,36","1691,95","1660,37","45815083216,00"
SNDX,IMOEX,09.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1728,44","1690,66","1734,75","1690,62","59473358331,00"
SNDX,IMOEX,12.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1710,60","1728,43","1739,29","1699,74","39708317518,00"
SNDX,IMOEX,13.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1720,81","1710,60","1720,81","1697,54","28711587828,00"
SNDX,IMOEX,14.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1723,01","1720,80","1731,57","1704,22","31761495366,00"
SNDX,IMOEX,15.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1731,91","1722,84","1746,67","1722,68","35430022350,00"
SNDX,IMOEX,16.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1717,00","1731,90","1746,07","1715,01","36611957731,00"
SNDX,IMOEX,19.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1716,08","1717,09","1722,49","1702,40","31353900203,00"
SNDX,IMOEX,20.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1722,62","1716,15","1722,62","1702,42","34615935057,00"
SNDX,IMOEX,21.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1709,94","1722,70","1722,90","1702,14","32619973850,00"
SNDX,IMOEX,22.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1712,10","1709,93","1718,82","1702,65","27704269672,00"
SNDX,IMOEX,23.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1725,45","1713,65","1734,98","1710,36","37253440247,00"
SNDX,IMOEX,26.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1712,13","1725,51","1731,60","1696,77","38058579778,00"
SNDX,IMOEX,27.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1725,89","1712,23","1725,89","1692,28","38391287349,00"
SNDX,IMOEX,28.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1726,61","1725,91","1727,39","1708,38","34408752591,00"
SNDX,IMOEX,29.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1708,60","1725,90","1727,30","1707,12","29451902808,00"
SNDX,IMOEX,30.10.2015,Индекс МосБиржи,Индекс МосБиржи,"1711,53","1708,51","1723,04","1699,25","26566212454,00"
SNDX,IMOEX,02.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1735,75","1710,90","1737,18","1701,25","27528642884,00"
SNDX,IMOEX,03.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1763,60","1735,76","1766,85","1734,22","38616091650,00"
SNDX,IMOEX,05.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1766,28","1764,94","1784,42","1762,01","39011014458,00"
SNDX,IMOEX,06.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1754,36","1766,18","1778,18","1746,17","32548113463,00"
SNDX,IMOEX,09.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1751,44","1754,19","1763,52","1742,36","24346689110,00"
SNDX,IMOEX,10.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1746,94","1751,45","1754,61","1734,34","24785834899,00"
SNDX,IMOEX,11.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1740,56","1747,02","1756,09","1733,61","27352629549,00"
SNDX,IMOEX,12.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1739,96","1739,29","1750,71","1732,50","28871426903,00"
SNDX,IMOEX,13.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1728,17","1739,84","1744,12","1723,42","30416876242,00"
SNDX,IMOEX,16.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1739,80","1728,12","1751,67","1726,31","30250393068,00"
SNDX,IMOEX,17.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1787,23","1740,98","1792,88","1740,82","51356679699,00"
SNDX,IMOEX,18.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1810,48","1787,11","1820,38","1785,10","44452288316,00"
SNDX,IMOEX,19.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1811,20","1811,89","1842,14","1805,41","54358055063,00"
SNDX,IMOEX,20.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1826,72","1810,03","1831,77","1797,93","34544521129,00"
