BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE
RTSI,RTSI,29.02.2016,Индекс РТС,Индекс РТС,"768,80","749,03","768,80","746,19","493975155,63"
RTSI,RTSI,01.03.2016,Индекс РТС,Индекс РТС,"786,36","771,72","790,55","770,87","469636901,85"
RTSI,RTSI,02.03.2016,Индекс РТС,Индекс РТС,"780,16","795,71","798,39","777,11","429437021,43"
RTSI,RTSI,03.03.2016,Индекс РТС,Индекс РТС,"798,58","792,03","800,29","783,58","484833382,13"
RTSI,RTSI,04.03.2016,Индекс РТС,Индекс РТС,"818,25","802,24","818,25","796,26","456276381,12"
RTSI,RTSI,07.03.2016,Индекс РТС,Индекс РТС,"839,23","823,66","840,10","822,35","406524105,25"
RTSI,RTSI,09.03.2016,Индекс РТС,Индекс РТС,"835,64","837,02","840,04","815,11","506376888,86"
RTSI,RTSI,10.03.2016,Индекс РТС,Индекс РТС,"834,24","835,49","850,15","828,53","510451691,77"
RTSI,RTSI,11.03.2016,Индекс РТС,Индекс РТС,"845,59","832,15","854,06","831,70","464765427,28"
RTSI,RTSI,14.03.2016,Индекс РТС,Индекс РТС,"830,54","845,79","847,18","826,32","423941770,79"
RTSI,RTSI,15.03.2016,Индекс РТС,Индекс РТС,"821,64","842,64","845,12","818,95","758773767,10"
RTSI,RTSI,16.03.2016,Индекс РТС,Индекс РТС,"835,97","823,84","835,97","821,19","419843837,41"
RTSI,RTSI,17.03.2016,Индекс РТС,Индекс РТС,"873,80","854,62","876,33","854,62","718582231,20"
RTSI,RTSI,18.03.2016,Индекс РТС,Индекс РТС,"885,13","875,90","894,76","866,88","889087757,52"
RTSI,RTSI,21.03.2016,Индекс РТС,Индекс РТС,"883,60","878,19","887,09","866,47","631305340,68"
RTSI,RTSI,22.03.2016,Индекс РТС,Индекс РТС,"889,02","885,03","894,44","874,22","671941279,16"
RTSI,RTSI,23.03.2016,Индекс РТС,Индекс РТС,"865,40","886,88","889,45","863,83","544685757,77"
RTSI,RTSI,24.03.2016,Индекс РТС,Индекс РТС,"847,26","858,51","859,41","841,49","457517604,05"
RTSI,RTSI,25.03.2016,Индекс РТС,Индекс РТС,"862,22","859,05","868,88","859,05","153924561,19"
RTSI,RTSI,28.03.2016,Индекс РТС,Индекс РТС,"851,67","861,54","873,01","848,25","263517815,08"
RTSI,RTSI,29.03.2016,Индекс РТС,Индекс РТС,"843,42","850,22","850,85","835,75","455431919,58"
RTSI,RTSI,30.03.2016,Индекс РТС,Индекс РТС,"869,86","857,46","876,77","857,46","502356847,29"
RTSI,RTSI,31.03.2016,Индекс РТС,Индекс РТС,"876,20","860,95","882,75","858,62","677606661,59"
RTSI,RTSI,01.04.2016,Индекс РТС,Индекс РТС,"861,96","874,41","874,41","847,04","613998467,36"
RTSI,RTSI,04.04.2016,Индекс РТС,Индекс РТС,"861,76","864,34","868,89","847,60","483262027,32"
RTSI,RTSI,05.04.2016,Индекс РТС,Индекс РТС,"846,61","852,10","854,10","839,62","449331390,52"
RTSI,RTSI,06.04.2016,Индекс РТС,Индекс РТС,"863,29","856,07","865,50","848,07","450715544,50"
RTSI,RTSI,07.04.2016,Индекс РТС,Индекс РТС,"859,24","869,47","872,56","852,98","453015910,61"
RTSI,RTSI,08.04.2016,Индекс РТС,Индекс РТС,"879,07","862,18","882,82","860,78","540296248,15"
RTSI,RTSI,11.04.2016,Индекс РТС,Индекс РТС,"900,98","880,29","903,04","875,94","695089979,86"
RTSI,RTSI,12.04.2016,Индекс РТС,Индекс РТС,"911,07","899,68","913,55","897,34","668411882,15"
RTSI,RTSI,13.04.2016,Индекс РТС,Индекс РТС,"922,50","912,44","932,15","910,21","763257723,28"
RTSI,RTSI,14.04.2016,Индекс РТС,Индекс РТС,"914,34","917,01","926,53","906,62","692119189,35"
RTSI,RTSI,15.04.2016,Индекс РТС,Индекс РТС,"905,10","911,77","916,40","899,37","450388746,94"
RTSI,RTSI,18.04.2016,Индекс РТС,Индекс РТС,"899,58","896,12","899,58","864,46","621865896,25"
RTSI,RTSI,19.04.2016,Индекс РТС,Индекс РТС,"926,64","903,47","928,11","902,49","882931359,84"
RTSI,RTSI,20.04.2016,Индекс РТС,Индекс РТС,"943,16","920,33","943,16","912,12","864529467,44"
RTSI,RTSI,21.04.2016,Индекс РТС,Индекс РТС,"927,23","952,83","960,96","925,67","883857742,04"
RTSI,RTSI,22.04.2016,Индекс РТС,Индекс РТС,"931,46","920,23","941,31","919,19","673361733,92"
RTSI,RTSI,25.04.2016,Индекс РТС,Индекс РТС,"927,66","930,05","935,99","919,03","553167760,61"
RTSI,RTSI,26.04.2016,Индекс РТС,Индекс РТС,"931,19","924,64","931,19","916,57","575568480,67"
RTSI,RTSI,27.04.2016,Индекс РТС,Индекс РТС,"927,09","943,15","945,78","919,71","574613113,13"
RTSI,RTSI,28.04.2016,Индекс РТС,Индекс РТС,"964,41","936,40","964,41","929,33","638461413,04"
RTSI,RTSI,29.04.2016,Индекс РТС,Индекс РТС,"951,11","959,40","968,03","945,72","770752570,97"
RTSI,RTSI,04.05.2016,Индекс РТС,Индекс РТС,"912,58","941,80","949,36","907,66","702394317,41"
RTSI,RTSI,05.05.2016,Индекс РТС,Индекс РТС,"916,53","911,13","924,43","906,62","479362558,67"
RTSI,RTSI,06.05.2016,Индекс РТС,Индекс РТС,"912,02","911,25","913,89","896,42","440512390,84"
