date,CLOSE,"Объем, RUB","Капитализация, RUB","Дюрация индекса, дней","Доходность индекса, %"
22 03 21,544.27,12 462 818 506,2 867 130 500 000,1 439,6.61
19 03 21,545.78,806 716 160,2 875 100 000 000,1 443,6.52
18 03 21,547.36,12 305 828 910,2 883 441 000 000,1 445,6.44
17 03 21,548.27,11 511 457 175,2 888 225 500 000,1 447,6.39
16 03 21,548.87,14 720 501 746,2 891 386 000 000,1 448,6.36
15 03 21,549.77,12 321 129 795,2 896 131 500 000,1 449,6.31
12 03 21,549.28,9 182 252 139,2 893 568 500 000,1 452,6.32
11 03 21,549.42,17 538 043 707,2 894 287 500 000,1 453,6.31
10 03 21,551.18,7 596 469 756,2 903 537 500 000,1 455,6.22
09 03 21,552.27,1 713 527 381,2 909 283 500 000,1 456,6.16
05 03 21,551.63,8 119 430 546,2 905 912 000 000,1 460,6.18
04 03 21,554.31,5 531 566 157,2 920 023 000 000,1 462,6.05
03 03 21,551.99,10 038 088 106,2 907 792 000 000,1 462,6.15
02 03 21,550.98,5 973 210 447,2 902 446 000 000,1 463,6.19
01 03 21,550.93,833 752 756,2 902 187 500 000,1 464,6.19
26 02 21,550.06,8 754 916 902,2 884 192 000 000,1 364,6.13
25 02 21,552.47,5 623 691 679,2 896 848 500 000,1 366,6.00
24 02 21,553.92,5 611 857 581,2 904 452 000 000,1 368,5.93
22 02 21,554.02,40 686 158,2 904 997 500 000,1 370,5.91
20 02 21,553.73,105 111 104,2 903 500 000 000,1 372,5.92
19 02 21,553.56,5 246 090 798,2 902 587 500 000,1 373,5.93
18 02 21,554.95,4 538 155 479,2 909 851 500 000,1 374,5.85
17 02 21,554.23,7 069 792 253,2 906 091 000 000,1 375,5.88
16 02 21,555.45,5 229 212 749,2 912 472 500 000,1 377,5.82
15 02 21,556.92,6 193 871 205,2 920 165 000 000,1 378,5.74
12 02 21,557.15,6 454 113 249,2 921 367 500 000,1 381,5.72
11 02 21,559.04,3 968 600 646,2 931 269 000 000,1 383,5.62
10 02 21,559.95,3 044 689 070,2 936 047 000 000,1 384,5.56
09 02 21,560.86,7 895 623 648,2 940 823 000 000,1 386,5.52
08 02 21,562.14,5 392 749 918,2 947 542 500 000,1 387,5.45
05 02 21,561.16,8 214 409 221,2 942 390 500 000,1 390,5.48
04 02 21,560.23,6 040 997 753,2 937 516 000 000,1 390,5.52
03 02 21,559.37,7 924 245 656,2 933 000 000 000,1 391,5.57
02 02 21,559.93,4 983 247 559,2 935 957 500 000,1 393,5.53
01 02 21,559.91,2 275 405 127,2 935 858 500 000,1 393,5.53
29 01 21,559.49,3 593 220 636,2 933 634 500 000,1 396,5.54
28 01 21,558.74,8 490 973 154,2 929 683 000 000,1 397,5.57
27 01 21,559.14,5 833 438 332,2 931 791 000 000,1 398,5.54
26 01 21,559.02,3 970 887 675,2 931 136 000 000,1 399,5.55
25 01 21,558.60,1 971 566 917,2 928 910 500 000,1 400,5.56
22 01 21,558.25,3 908 792 532,2 927 063 000 000,1 403,5.57
21 01 21,559.95,2 804 531 218,2 935 979 500 000,1 405,5.48
20 01 21,560.56,4 392 713 068,2 939 178 000 000,1 406,5.45
19 01 21,560.01,8 883 316 142,2 965 264 000 000,1 393,5.47
18 01 21,559.62,2 100 164 603,2 963 200 000 000,1 394,5.49
15 01 21,560.16,2 120 433 264,2 966 039 500 000,1 397,5.45
14 01 21,562.05,1 506 856 067,2 976 024 000 000,1 399,5.35
13 01 21,561.82,2 912 483 829,2 974 809 000 000,1 400,5.36
12 01 21,562.10,4 906 849 028,2 976 295 500 000,1 401,5.34
11 01 21,563.00,924 417 084,2 981 064 000 000,1 402,5.30
08 01 21,564.33,22 279 006,2 988 082 500 000,1 406,5.22
06 01 21,564.10,15 127 872,2 986 887 500 000,1 408,5.22
05 01 21,563.62,21 384 442,2 984 320 000 000,1 409,5.24
04 01 21,563.13,25 257 613,2 981 745 500 000,1 410,5.26
30 12 20,562.11,9 344 543 994,2 976 354 500 000,1 414,5.29
29 12 20,562.11,6 183 454 291,2 976 343 000 000,1 416,5.29
28 12 20,561.14,2 359 646 058,2 971 190 000 000,1 416,5.33
25 12 20,561.16,861 669 857,2 971 278 000 000,1 420,5.33
24 12 20,560.77,3 517 806 356,2 969 217 500 000,1 420,5.34
23 12 20,560.49,1 890 507 867,2 967 721 000 000,1 422,5.35
22 12 20,561.04,956 017 557,2 970 651 000 000,1 423,5.32
21 12 20,561.24,899 912 495,2 971 729 000 000,1 424,5.31
18 12 20,562.04,1 284 304 499.38,2 975 946 500 000,1 427,5.25
17 12 20,562.89,4 218 735 769.12,2 980 459 500 000,1 429,5.21
16 12 20,562.77,3 810 488 014.09,2 979 799 500 000,1 429,5.21
15 12 20,562.90,685 296 411.38,2 980 502 500 000,1 430,5.20
14 12 20,563.14,2 563 814 432.35,2 981 769 500 000,1 431,5.19
11 12 20,562.92,157 847 777.1,2 980 597 500 000,1 434,5.19
10 12 20,563.34,2 473 547 320.33,2 982 826 000 000,1 436,5.16
09 12 20,563.68,1 570 104 700.75,2 984 624 500 000,1 437,5.15
08 12 20,563.71,1 897 388 509.56,2 984 782 500 000,1 438,5.14
07 12 20,563.44,317 658 939.61,2 983 350 000 000,1 439,5.15
04 12 20,563.20,816 244 457.25,2 982 095 000 000,1 442,5.15
03 12 20,562.88,2 078 476 428.91,2 980 419 500 000,1 443,5.16
02 12 20,562.83,2 505 965 374.58,2 980 174 000 000,1 444,5.16
01 12 20,563.16,750 373 693.61,2 981 928 500 000,1 445,5.14
30 11 20,562.84,369 324 285.35,2 980 247 000 000,1 446,5.16
27 11 20,563.05,2 416 719 738.25,2 981 362 500 000,1 449,5.13
26 11 20,563.21,542 162 134.54,2 982 202 500 000,1 450,5.12
25 11 20,563.17,1 109 730 083.64,2 981 971 500 000,1 451,5.12
24 11 20,563.24,1 417 012 784.41,2 982 356 500 000,1 452,5.11
23 11 20,563.30,804 209 170.42,2 982 685 500 000,1 453,5.10
20 11 20,563.04,270 341 648.08,2 981 298 000 000,1 456,5.11
19 11 20,562.68,349 239 014.31,2 979 390 000 000,1 457,5.12
18 11 20,563.08,4 493 179 135.78,2 981 493 000 000,1 458,5.10
17 11 20,563.00,1 615 021 376.6,2 997 098 000 000,1 452,5.10
16 11 20,563.28,1 413 444 802.1,2 998 602 000 000,1 453,5.08
13 11 20,562.78,1 197 212 320.15,2 995 956 000 000,1 455,5.09
12 11 20,562.22,1 612 472 777.61,2 992 999 500 000,1 456,5.12
11 11 20,562.03,608 870 347.37,2 991 966 000 000,1 457,5.12
10 11 20,561.75,777 792 974.26,2 990 469 000 000,1 458,5.13
09 11 20,562.12,2 438 551 181.06,2 992 447 000 000,1 459,5.11
06 11 20,560.79,4 184 135 770.9,2 985 374 000 000,1 462,5.16
05 11 20,559.84,4 178 080 057.83,2 980 342 500 000,1 462,5.20
03 11 20,555.66,1 479 837 950.97,2 958 073 000 000,1 463,5.38
02 11 20,554.84,718 979 469.61,2 953 700 000 000,1 464,5.42
30 10 20,556.74,2 208 961 039.22,2 963 794 500 000,1 468,5.32
29 10 20,557.00,593 435 719.77,2 965 194 500 000,1 469,5.31
28 10 20,557.88,1 744 035 079.37,2 969 890 500 000,1 470,5.27
27 10 20,558.97,338 166 058.43,2 975 697 500 000,1 472,5.21
26 10 20,559.26,232 526 167.21,2 977 265 500 000,1 473,5.19
23 10 20,559.03,4 075 843 529.69,2 976 032 000 000,1 476,5.19
22 10 20,558.56,4 268 839 880.8,2 973 524 500 000,1 477,5.21
21 10 20,558.50,5 276 365 544.48,2 985 616 000 000,1 477,5.21
20 10 20,558.34,1 620 223 968.35,2 984 763 500 000,1 472,5.22
19 10 20,558.37,2 437 721 311.51,2 984 932 500 000,1 473,5.21
